# Destination
1514 2995 0
1516 2995 0
1563 3573 0
1597 3664 0
1660 3141 0
1668 12505 0
1668 12507 0
1674 12505 0
1674 12507 0
1777 3057 0
1777 3060 0
1765 10158 0
1802 9489 0
1804 9484 0
1957 5341 0
1963 9072 1
2217 2784 0
2227 6256 0
2229 6256 0
2360 6366 0
2312 9798 0
2393 3796 0
2396 3805 0
2440 6086 0
2498 3332 0
2500 3330 0
2551 3897 0
2612 3078 0
2612 3081 0
2615 3081 0
2616 6366 0
2650 2659 0
2652 2659 0
2651 3164 0
2653 3164 0
2653 3166 0
2636 3416 0
2638 3418 0
2639 3419 0
2711 3495 0
2712 3492 0
2713 3495 0
2789 3101 0
2919 3573 0
2999 3145 0
2990 3689 0
2954 5802 0
2959 5803 0
3063 3952 0
3013 9811 0
3013 9814 0
3076 9497 0
3076 9499 0
3082 9497 0
3082 9499 0
3111 9689 0
3188 3422 0
3187 3424 0
3188 3427 0
3189 3938 0
3229 3434 0
3229 3436 0
3247 3404 0
3249 3404 0
3286 6054 0
3288 6055 0
3288 6054 0
3361 3155 0
3405 2834 0
3408 2921 0
3753 3318 0
3753 3320 0
3892 4894 0
3891 4896 0
3892 4899 0
3933 4906 0
3933 4908 0
3951 4876 0
3953 4876 0
